time_iso8601,forks_cumulative
2019-03-08 00:00:00+00:00,1
2019-06-02 00:00:00+00:00,2
2019-11-08 00:00:00+00:00,3
2021-07-12 00:00:00+00:00,4
2021-08-01 00:00:00+00:00,5
2022-05-27 00:00:00+00:00,6
2023-11-19 00:00:00+00:00,7
2024-01-03 00:00:00+00:00,8
