time_iso8601,stars_cumulative
2020-11-24 00:00:00+00:00,1
2021-09-21 00:00:00+00:00,2
2023-08-14 00:00:00+00:00,3
2023-12-06 00:00:00+00:00,4
2024-05-19 00:00:00+00:00,5
