referrer,views_total,views_unique
Google,12,3
Bing,6,2
github.com,6,2
sciencedirect.com,2,2
cn.bing.com,2,2
nature.com,2,1
chatgpt.com,2,1
ncbi.nlm.nih.gov,1,1
