referrer,views_total,views_unique
nature.com,21,3
figshare.com,11,1
Bing,10,1
xljsci.com,3,2
onlinelibrary.wiley.com,2,2
ncbi.nlm.nih.gov,2,1
pdf.sciencedirectassets.com,1,1
kriya2.kriyadocs.com,1,1
github.com,1,1
