referrer,views_total,views_unique
sciencedirect.com,62,6
Google,5,4
cn.bing.com,4,1
Bing,2,2
figshare.com,2,2
advanced.onlinelibrary.wiley.com,1,1
nature.com,1,1
github.com,1,1
