time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-25 00:00:00+00:00,,,1,1
2023-04-26 00:00:00+00:00,,,1,1
2023-04-28 00:00:00+00:00,,,2,2
2023-05-01 00:00:00+00:00,,,1,1
2023-05-02 00:00:00+00:00,,,1,1
2023-05-03 00:00:00+00:00,,,3,2
