url_path,views_total,views_unique
/NSBLab/BrainEigenmodes/tree/main/data,9,4
/NSBLab/BrainEigenmodes,7,6
/NSBLab/BrainEigenmodes/tree/main/data/template_eigenmodes,3,2
/NSBLab/BrainEigenmodes/blob/986543aad2b921e9f51e4a26bec41f147ddf166f/functions_matlab/calc_parcellate.m,3,1
/NSBLab/BrainEigenmodes/blob/main/README.md,3,1
/NSBLab/BrainEigenmodes/tree/main/data/empirical,2,2
/NSBLab/BrainEigenmodes/blob/986543aad2b921e9f51e4a26bec41f147ddf166f/data/template_surfaces_volumes/fsLR_500_sphere-lh.surf.gii,2,1
/NSBLab/BrainEigenmodes/blob/986543aad2b921e9f51e4a26bec41f147ddf166f/generate_paper_figures_main_Nature.m,2,1
/NSBLab/BrainEigenmodes/blob/main/demo_wave_model_simulation.m,2,1
/NSBLab/BrainEigenmodes/blob/main/volume_eigenmodes.py,2,1
