url_path,views_total,views_unique
/NSBLab/BrainEigenmodes,62,34
/NSBLab/BrainEigenmodes/tree/main/data,27,6
/NSBLab/BrainEigenmodes/tree/main/functions_matlab,20,10
/NSBLab/BrainEigenmodes/tree/main,19,5
/NSBLab/BrainEigenmodes/blob/main/surface_eigenmodes.py,16,5
/NSBLab/BrainEigenmodes/blob/main/README.md,14,4
/NSBLab/BrainEigenmodes/blob/main/volume_eigenmodes.py,13,3
/NSBLab/BrainEigenmodes/blob/main/data/figures_Nature/Figure1.mat,6,1
/NSBLab/BrainEigenmodes/blob/main/demo_eigenmode_analysis.m,5,4
/NSBLab/BrainEigenmodes/blob/main/demo_eigenmode_calculation.sh,5,4
