time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-14 00:00:00+00:00,,,68,4
2023-10-15 00:00:00+00:00,,,7,3
2023-10-16 00:00:00+00:00,1.0,1.0,17,9
2023-10-17 00:00:00+00:00,,,29,11
2023-10-18 00:00:00+00:00,1.0,1.0,58,5
2023-10-19 00:00:00+00:00,1.0,1.0,51,9
2023-10-20 00:00:00+00:00,,,53,7
2023-10-21 00:00:00+00:00,,,1,1
2023-10-22 00:00:00+00:00,,,6,3
2023-10-23 00:00:00+00:00,,,17,9
2023-10-24 00:00:00+00:00,,,76,10
2023-10-25 00:00:00+00:00,,,13,3
2023-10-26 00:00:00+00:00,2.0,2.0,36,6
2023-10-27 00:00:00+00:00,,,31,9
