url_path,views_total,views_unique
/NSBLab/BrainEigenmodes/tree/main/functions_matlab,149,11
/NSBLab/BrainEigenmodes,148,70
/NSBLab/BrainEigenmodes/tree/main/data,118,21
/NSBLab/BrainEigenmodes/blob/main/surface_eigenmodes.py,71,13
/NSBLab/BrainEigenmodes/blob/main/demo_eigenmode_calculation.sh,50,9
/NSBLab/BrainEigenmodes/blob/main/demo_eigenmode_analysis.m,36,11
/NSBLab/BrainEigenmodes/tree/main,31,11
/NSBLab/BrainEigenmodes/tree/main/data/template_surfaces_volumes,21,6
/NSBLab/BrainEigenmodes/tree/3b9469edf0289eb27230bcccd6df2c8149d12ce6/functions_matlab,18,1
/NSBLab/BrainEigenmodes/tree/main/data/template_eigenmodes,17,7
