url_path,views_total,views_unique
/NSBLab/BrainEigenmodes/tree/main/data,118,15
/NSBLab/BrainEigenmodes,88,56
/NSBLab/BrainEigenmodes/tree/main/functions_matlab,66,11
/NSBLab/BrainEigenmodes/blob/main/surface_eigenmodes.py,62,15
/NSBLab/BrainEigenmodes/tree/main,62,14
/NSBLab/BrainEigenmodes/blob/main/demo_eigenmode_analysis.m,29,5
/NSBLab/BrainEigenmodes/blob/main/volume_eigenmodes.py,25,8
/NSBLab/BrainEigenmodes/tree/main/data/results,24,6
/NSBLab/BrainEigenmodes/blob/main/demo_wave_model_simulation.m,24,3
/NSBLab/BrainEigenmodes/blob/main/generate_paper_figures_main_Nature.m,22,8
