url_path,views_total,views_unique
/NSBLab/BrainEigenmodes,324,182
/NSBLab/BrainEigenmodes/tree/main/functions_matlab,191,45
/NSBLab/BrainEigenmodes/tree/main/data,138,37
/NSBLab/BrainEigenmodes/blob/main/surface_eigenmodes.py,72,33
/NSBLab/BrainEigenmodes/blob/main/volume_eigenmodes.py,68,19
/NSBLab/BrainEigenmodes/blob/main/demo_wave_model_simulation.m,46,14
/NSBLab/BrainEigenmodes/blob/main/generate_paper_figures_main_Nature.m,35,14
/NSBLab/BrainEigenmodes/blob/main/functions_matlab/model_neural_waves.m,34,8
/NSBLab/BrainEigenmodes/tree/main/data/examples,30,16
/NSBLab/BrainEigenmodes/blob/main/demo_connectome_eigenmode_calculation.m,29,11
