url_path,views_total,views_unique
/NSBLab/BrainEigenmodes,140,88
/NSBLab/BrainEigenmodes/tree/main/data,55,14
/NSBLab/BrainEigenmodes/tree/main/functions_matlab,39,15
/NSBLab/BrainEigenmodes/blob/main/surface_eigenmodes.py,14,6
/NSBLab/BrainEigenmodes/tree/main/data/empirical,12,5
/NSBLab/BrainEigenmodes/tree/main/data/template_eigenmodes,11,4
/NSBLab/BrainEigenmodes/blob/main/demo_eigenmode_visualization.m,10,3
/NSBLab/BrainEigenmodes/tree/main,9,6
/NSBLab/BrainEigenmodes/tree/main/data/parcellations,9,3
/NSBLab/BrainEigenmodes/blob/main/demo_eigenmode_calculation.sh,8,5
