url_path,views_total,views_unique
/NSBLab/BrainEigenmodes,41,24
/NSBLab/BrainEigenmodes/tree/main/functions_matlab,13,4
/NSBLab/BrainEigenmodes/tree/main/data,8,3
/NSBLab/BrainEigenmodes/tree/main/data/empirical,6,2
/NSBLab/BrainEigenmodes/blob/main/demo_eigenmode_visualization.m,6,1
/NSBLab/BrainEigenmodes/blob/main/functions_matlab/calc_parcellate.m,4,1
/NSBLab/BrainEigenmodes/blob/main/cover_image.jpg,3,1
/NSBLab/BrainEigenmodes/blob/main/generate_paper_figures_main_Nature.m,3,1
/NSBLab/BrainEigenmodes/blob/main/surface_eigenmodes.py,3,1
/NSBLab/BrainEigenmodes/blob/main/functions_matlab/calc_eigendecomposition.m,2,1
