url_path,views_total,views_unique
/NSBLab/BrainEigenmodes,52,26
/NSBLab/BrainEigenmodes/tree/main/functions_matlab,24,12
/NSBLab/BrainEigenmodes/tree/main/data,18,10
/NSBLab/BrainEigenmodes/tree/main,15,8
/NSBLab/BrainEigenmodes/blob/main/surface_eigenmodes.py,13,7
/NSBLab/BrainEigenmodes/blob/main/demo_eigenmode_analysis.m,11,3
/NSBLab/BrainEigenmodes/blob/main/functions_matlab/model_neural_waves.m,11,3
/NSBLab/BrainEigenmodes/blob/main/functions_matlab/model_BOLD_balloon.m,10,2
/NSBLab/BrainEigenmodes/blob/main/demo_eigenmode_calculation.sh,9,6
/NSBLab/BrainEigenmodes/blob/main/demo_wave_model_simulation.m,9,2
