url_path,views_total,views_unique
/NSBLab/BrainEigenmodes,81,41
/NSBLab/BrainEigenmodes/tree/main/data,32,10
/NSBLab/BrainEigenmodes/tree/main/functions_matlab,22,12
/NSBLab/BrainEigenmodes/blob/main/surface_eigenmodes.py,21,9
/NSBLab/BrainEigenmodes/tree/main,19,8
/NSBLab/BrainEigenmodes/blob/main/demo_eigenmode_analysis.m,12,6
/NSBLab/BrainEigenmodes/blob/main/volume_eigenmodes.py,11,5
/NSBLab/BrainEigenmodes/blob/main/README.md,7,5
/NSBLab/BrainEigenmodes/blob/main/demo_wave_model_simulation.m,6,5
/NSBLab/BrainEigenmodes/blob/main/demo_eigenmode_calculation.sh,6,4
