time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-03 00:00:00+00:00,2.0,1.0,26,9
2025-12-04 00:00:00+00:00,,,26,5
2025-12-05 00:00:00+00:00,1.0,1.0,2,2
2025-12-06 00:00:00+00:00,,,7,4
2025-12-07 00:00:00+00:00,1.0,1.0,1,1
2025-12-08 00:00:00+00:00,1.0,1.0,9,4
2025-12-09 00:00:00+00:00,1.0,1.0,20,5
2025-12-10 00:00:00+00:00,,,9,8
2025-12-11 00:00:00+00:00,,,27,7
2025-12-12 00:00:00+00:00,,,36,12
2025-12-13 00:00:00+00:00,1.0,1.0,6,2
2025-12-14 00:00:00+00:00,,,1,1
2025-12-15 00:00:00+00:00,1.0,1.0,36,7
2025-12-16 00:00:00+00:00,,,23,3
